COD_IBGE,ENQUADRAMENTO_n,VALORBENEFÍCIO_mean,Abril,ValorAbril,Maio,ValorMaio,Junho,ValorJunho,Julho,ValorJulho
2803708,2896,70773.4806629834,2896,70.7734806629834,3062,70.4245591116917,2327,72.2475290073055,499,64.689378757515
2803807,1400,72300,1400,72.3,1512,71.6269841269841,1066,74.1838649155722,322,66.3354037267081
2803906,5144,68934.6811819596,5144,68.9346811819596,5444,68.6407053637032,4023,70.2162565249814,895,63.7541899441341
2804003,5628,75000,5628,75,6264,73.9655172413793,4248,78.4604519774011,1461,65.0924024640657
2804102,3993,65499.6243425995,3993,65.4996243425995,4522,65.2543122512163,2989,66.0622281699565,1079,63.8368860055607
2804201,6515,69577.8971603991,6515,69.5778971603991,6794,69.3700323815131,5576,70.609756097561,815,63.9018404907975
2804300,2718,74260.4856512141,2718,74.2604856512141,2906,73.7302133516862,2154,76.5181058495822,561,66.3101604278075
2804409,5902,73185.360894612,5902,73.185360894612,6343,72.5902569761942,4981,74.9728970086328,1085,63.705069124424
2804458,3509,65522.9410088344,3509,65.5229410088344,3730,65.4369973190349,2761,66.4324520101412,616,62.9220779220779
2804508,14464,72316.0951327434,14464,72.3160951327434,15564,71.6885119506554,11503,74.1667391115361,2955,64.2233502538071
2804607,10154,72846.1689974394,10154,72.8461689974394,10915,72.18689876317,8021,74.960728088767,2004,64.7305389221557
2804706,2529,66263.3451957295,2529,66.2633451957295,2662,66.1532682193839,2074,66.9720347155256,392,63.2142857142857
2804805,57638,76401.6794475867,57638,76.4016794475867,64566,75.1129077223306,42878,79.0195438220066,15892,66.8713818273345
2804904,5155,69090.203685742,5155,69.090203685742,5478,68.9704271631982,4280,70.6682242990654,883,63.6693091732729
2805000,1235,70834.008097166,1235,70.834008097166,1274,70.7378335949765,1027,72.6192794547225,160,62.625
2805109,3380,70295.8579881657,3380,70.2958579881657,3542,70.1806888763411,2762,72.0782041998552,526,64.106463878327
2805208,2286,69973.7532808399,2286,69.9737532808399,2436,69.5812807881773,1817,71.8547055586131,420,62.5714285714286
2805307,3380,73047.3372781065,3380,73.0473372781065,3639,72.3660346248969,2687,74.9609229624116,694,65.3602305475504
2805406,12551,72467.5324675325,12551,72.4675324675325,13143,72.0337822414974,10564,74.1707686482393,1716,62.972027972028
2805505,8622,68997.9123173278,8622,68.9979123173278,9074,68.6951730218206,6913,70.1721394474179,1484,63.8409703504043
2805604,11650,67792.2746781116,11650,67.7922746781116,12210,67.5479115479115,10107,68.5188483229445,1552,63.8273195876289
2805703,8791,73172.5628483677,8791,73.1725628483677,9687,72.4125116135026,6867,75.8846657929227,2158,64.1427247451344
2805802,7620,68629.9212598425,7620,68.6299212598425,7965,68.4143126177025,6262,70.127754710955,1264,61.8512658227848
2805901,3150,77580.9523809524,3150,77.5809523809524,3341,76.9350493864113,2505,80.2874251497006,571,67.1453590192644
2806008,5957,68883.6662749706,5957,68.8836662749706,6523,68.397976391231,4693,70.3302791391434,1469,63.7576582709326
2806107,3373,76685.4432256152,3373,76.6854432256152,3653,75.8828360251848,2681,79.5822454308094,691,65.5571635311143
2806206,7530,71745.0199203187,7530,71.7450199203187,8102,71.1972352505554,5853,74.218349564326,1567,63.82897255903
2806305,5429,71217.535457727,5429,71.217535457727,5655,70.9389920424403,4560,72.8421052631579,753,62.7888446215139
2806404,3015,73711.4427860696,3015,73.7114427860696,3125,73.4976,2635,75.0740037950664,328,63.109756097561
2806503,1416,72923.7288135593,1416,72.9237288135593,1499,72.5283522348232,1164,74.9484536082474,242,64.7107438016529
2806602,4556,78489.9034240562,4556,78.4899034240562,4819,77.7422701805354,3535,81.8274398868458,893,65.5767077267637
2806701,26692,76096.9578900045,26692,76.0969578900045,30156,74.8448070035814,20859,78.7257299007623,7238,66.1425808234319
2806800,3862,73469.7048161574,3862,73.4697048161574,4133,72.7171546092427,3012,76.3745019920319,741,63.4817813765182
2806909,1255,70613.5458167331,1255,70.6135458167331,1340,70.1641791044776,1004,72.4302788844622,236,63.5593220338983
2807006,1622,68581.9975339088,1622,68.5819975339087,1701,68.395061728395,1290,70.1395348837209,256,63.515625
2807105,17996,70015.559013114,17996,70.015559013114,18538,69.8554320854461,15695,70.9984071360306,1911,63.2339089481947
